;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ACH_desc;We've had a good run, but it's time to end our rulership of Achaea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADO_title;Grant Andorra Independence;;;;;;;;;;;;x,,
gtfo_ADO_desc;We've had a good run, but it's time to end our rulership of Andorra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADU_title;Grant Andalucia Independence;;;;;;;;;;;;x,,
gtfo_ADU_desc;We've had a good run, but it's time to end our rulership of Andalucia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AES_title;Grant Anglo-Saxony Independence;;;;;;;;;;;;x,,
gtfo_AES_desc;We've had a good run, but it's time to end our rulership of Anglo-Saxony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AGC_title;Grant Angoche Independence;;;;;;;;;;;;x,,
gtfo_AGC_desc;We've had a good run, but it's time to end our rulership of Angoche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AGU_title;Grant Anguilla Independence;;;;;;;;;;;;x,,
gtfo_AGU_desc;We've had a good run, but it's time to end our rulership of Anguilla: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AJU_title;Grant Ajuuraan Independence;;;;;;;;;;;;x,,
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Ajuuraan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKH_title;Grant Astrakhan Independence;;;;;;;;;;;;x,,
gtfo_AKH_desc;We've had a good run, but it's time to end our rulership of Astrakhan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKK_title;Grant AkKoyunlu Independence;;;;;;;;;;;;x,,
gtfo_AKK_desc;We've had a good run, but it's time to end our rulership of AkKoyunlu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALB_title;Grant Albania Independence;;;;;;;;;;;;x,,
gtfo_ALB_desc;We've had a good run, but it's time to end our rulership of Albania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Algiers Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Algiers: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALE_title;Grant Alencon Independence;;;;;;;;;;;;x,,
gtfo_ALE_desc;We've had a good run, but it's time to end our rulership of Alencon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALH_title;Grant Haasa Independence;;;;;;;;;;;;x,,
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Haasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALI_title;Grant Alien Invaders Independence;;;;;;;;;;;;x,,
gtfo_ALI_desc;We've had a good run, but it's time to end our rulership of Alien Invaders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALM_title;Grant Altamaha Independence;;;;;;;;;;;;x,,
gtfo_ALM_desc;We've had a good run, but it's time to end our rulership of Altamaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALN_title;Grant Alania Independence;;;;;;;;;;;;x,,
gtfo_ALN_desc;We've had a good run, but it's time to end our rulership of Alania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALQ_title;Grant Algonquin Independence;;;;;;;;;;;;x,,
gtfo_ALQ_desc;We've had a good run, but it's time to end our rulership of Algonquin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALS_title;Grant Strasbourg Independence;;;;;;;;;;;;x,,
gtfo_ALS_desc;We've had a good run, but it's time to end our rulership of Strasbourg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALT_title;Grant Altai Republic Independence;;;;;;;;;;;;x,,
gtfo_ALT_desc;We've had a good run, but it's time to end our rulership of Altai Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALW_title;Grant Alawite Independence;;;;;;;;;;;;x,,
gtfo_ALW_desc;We've had a good run, but it's time to end our rulership of Alawite: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AMD_title;Grant Ahmadnagar Independence;;;;;;;;;;;;x,,
gtfo_AMD_desc;We've had a good run, but it's time to end our rulership of Ahmadnagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AMG_title;Grant Armagnac Independence;;;;;;;;;;;;x,,
gtfo_AMG_desc;We've had a good run, but it's time to end our rulership of Armagnac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANA_title;Grant Anatolia Independence;;;;;;;;;;;;x,,
gtfo_ANA_desc;We've had a good run, but it's time to end our rulership of Anatolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AND_title;Grant Andhra Independence;;;;;;;;;;;;x,,
gtfo_AND_desc;We've had a good run, but it's time to end our rulership of Andhra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANG_title;Grant Angola Independence;;;;;;;;;;;;x,,
gtfo_ANG_desc;We've had a good run, but it's time to end our rulership of Angola: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANH_title;Grant Anhalt Independence;;;;;;;;;;;;x,,
gtfo_ANH_desc;We've had a good run, but it's time to end our rulership of Anhalt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANN_title;Grant Annam Independence;;;;;;;;;;;;x,,
gtfo_ANN_desc;We've had a good run, but it's time to end our rulership of Annam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANS_title;Grant Ansbach Independence;;;;;;;;;;;;x,,
gtfo_ANS_desc;We've had a good run, but it's time to end our rulership of Ansbach: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANT_title;Grant Antemoro Independence;;;;;;;;;;;;x,,
gtfo_ANT_desc;We've had a good run, but it's time to end our rulership of Antemoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AOM_title;Grant Macao Independence;;;;;;;;;;;;x,,
gtfo_AOM_desc;We've had a good run, but it's time to end our rulership of Macao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AOT_title;Grant Aotearoa Independence;;;;;;;;;;;;x,,
gtfo_AOT_desc;We've had a good run, but it's time to end our rulership of Aotearoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_APA_title;Grant Apache Independence;;;;;;;;;;;;x,,
gtfo_APA_desc;We've had a good run, but it's time to end our rulership of Apache: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AQU_title;Grant Aquileia Independence;;;;;;;;;;;;x,,
gtfo_AQU_desc;We've had a good run, but it's time to end our rulership of Aquileia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARA_title;Grant Arabia Independence;;;;;;;;;;;;x,,
gtfo_ARA_desc;We've had a good run, but it's time to end our rulership of Arabia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARC_title;Grant Argentine Conf Independence;;;;;;;;;;;;x,,
gtfo_ARC_desc;We've had a good run, but it's time to end our rulership of Argentine Conf: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARG_title;Grant Argentina Independence;;;;;;;;;;;;x,,
gtfo_ARG_desc;We've had a good run, but it's time to end our rulership of Argentina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARK_title;Grant Arakan Independence;;;;;;;;;;;;x,,
gtfo_ARK_desc;We've had a good run, but it's time to end our rulership of Arakan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARL_title;Grant Ardabil Independence;;;;;;;;;;;;x,,
gtfo_ARL_desc;We've had a good run, but it's time to end our rulership of Ardabil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARM_title;Grant Armenia Independence;;;;;;;;;;;;x,,
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARN_title;Grant Aragon Independence;;;;;;;;;;;;x,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Aragon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARO_title;Grant Aro Independence;;;;;;;;;;;;x,,
gtfo_ARO_desc;We've had a good run, but it's time to end our rulership of Aro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARP_title;Grant Arapaho Independence;;;;;;;;;;;;x,,
gtfo_ARP_desc;We've had a good run, but it's time to end our rulership of Arapaho: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARU_title;Grant Arab Union Independence;;;;;;;;;;;;x,,
gtfo_ARU_desc;We've had a good run, but it's time to end our rulership of Arab Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARW_title;Grant Arawak Independence;;;;;;;;;;;;x,,
gtfo_ARW_desc;We've had a good run, but it's time to end our rulership of Arawak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASI_title;Grant Assiniboine Independence;;;;;;;;;;;;x,,
gtfo_ASI_desc;We've had a good run, but it's time to end our rulership of Assiniboine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASK_title;Grant Ashikaga Independence;;;;;;;;;;;;x,,
gtfo_ASK_desc;We've had a good run, but it's time to end our rulership of Ashikaga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASM_title;Grant Assam Independence;;;;;;;;;;;;x,,
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Assam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASR_title;Grant Asir Independence;;;;;;;;;;;;x,,
gtfo_ASR_desc;We've had a good run, but it's time to end our rulership of Asir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AST_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_AST_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASY_title;Grant Assyria Independence;;;;;;;;;;;;x,,
gtfo_ASY_desc;We've had a good run, but it's time to end our rulership of Assyria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATC_title;Grant Antillean Conf Independence;;;;;;;;;;;;x,,
gtfo_ATC_desc;We've had a good run, but it's time to end our rulership of Antillean Conf: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATH_title;Grant Athens Independence;;;;;;;;;;;;x,,
gtfo_ATH_desc;We've had a good run, but it's time to end our rulership of Athens: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATJ_title;Grant Aceh Independence;;;;;;;;;;;;x,,
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Aceh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATR_title;Grant Asturias Independence;;;;;;;;;;;;x,,
gtfo_ATR_desc;We've had a good run, but it's time to end our rulership of Asturias: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATT_title;Grant Attignawantan Independence;;;;;;;;;;;;x,,
gtfo_ATT_desc;We've had a good run, but it's time to end our rulership of Attignawantan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATW_title;Grant Attiwandaron Independence;;;;;;;;;;;;x,,
gtfo_ATW_desc;We've had a good run, but it's time to end our rulership of Attiwandaron: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUA_title;Grant Awngthim Independence;;;;;;;;;;;;x,,
gtfo_AUA_desc;We've had a good run, but it's time to end our rulership of Awngthim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUE_title;Grant Eora Independence;;;;;;;;;;;;x,,
gtfo_AUE_desc;We've had a good run, but it's time to end our rulership of Eora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUG_title;Grant Augsburg Independence;;;;;;;;;;;;x,,
gtfo_AUG_desc;We've had a good run, but it's time to end our rulership of Augsburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUI_title;Grant Kamilaroi Independence;;;;;;;;;;;;x,,
gtfo_AUI_desc;We've had a good run, but it's time to end our rulership of Kamilaroi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUK_title;Grant Kaurna Independence;;;;;;;;;;;;x,,
gtfo_AUK_desc;We've had a good run, but it's time to end our rulership of Kaurna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUL_title;Grant Larrakia Independence;;;;;;;;;;;;x,,
gtfo_AUL_desc;We've had a good run, but it's time to end our rulership of Larrakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUN_title;Grant Yanuwa Independence;;;;;;;;;;;;x,,
gtfo_AUN_desc;We've had a good run, but it's time to end our rulership of Yanuwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUO_title;Grant Nyoongah Independence;;;;;;;;;;;;x,,
gtfo_AUO_desc;We've had a good run, but it's time to end our rulership of Nyoongah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUP_title;Grant Palawa Independence;;;;;;;;;;;;x,,
gtfo_AUP_desc;We've had a good run, but it's time to end our rulership of Palawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUR_title;Grant Laessinia Independence;;;;;;;;;;;;x,,
gtfo_AUR_desc;We've had a good run, but it's time to end our rulership of Laessinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUS_title;Grant Austria Independence;;;;;;;;;;;;x,,
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUV_title;Grant Auvergne Independence;;;;;;;;;;;;x,,
gtfo_AUV_desc;We've had a good run, but it's time to end our rulership of Auvergne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUW_title;Grant Wurundjeri Independence;;;;;;;;;;;;x,,
gtfo_AUW_desc;We've had a good run, but it's time to end our rulership of Wurundjeri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AVA_title;Grant Ava Independence;;;;;;;;;;;;x,,
gtfo_AVA_desc;We've had a good run, but it's time to end our rulership of Ava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AVI_title;Grant Avignon Independence;;;;;;;;;;;;x,,
gtfo_AVI_desc;We've had a good run, but it's time to end our rulership of Avignon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWA_title;Grant Oudh Independence;;;;;;;;;;;;x,,
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Oudh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWS_title;Grant Aussa Independence;;;;;;;;;;;;x,,
gtfo_AWS_desc;We've had a good run, but it's time to end our rulership of Aussa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AYD_title;Grant Aydin Independence;;;;;;;;;;;;x,,
gtfo_AYD_desc;We've had a good run, but it's time to end our rulership of Aydin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AYR_title;Grant Air Independence;;;;;;;;;;;;x,,
gtfo_AYR_desc;We've had a good run, but it's time to end our rulership of Air: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AZA_title;Grant Azande Independence;;;;;;;;;;;;x,,
gtfo_AZA_desc;We've had a good run, but it's time to end our rulership of Azande: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AZB_title;Grant Azerbaijan Independence;;;;;;;;;;;;x,,
gtfo_AZB_desc;We've had a good run, but it's time to end our rulership of Azerbaijan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AZT_title;Grant Aztec Independence;;;;;;;;;;;;x,,
gtfo_AZT_desc;We've had a good run, but it's time to end our rulership of Aztec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAB_title;Grant Babylonia Independence;;;;;;;;;;;;x,,
gtfo_BAB_desc;We've had a good run, but it's time to end our rulership of Babylonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAD_title;Grant Baden Independence;;;;;;;;;;;;x,,
gtfo_BAD_desc;We've had a good run, but it's time to end our rulership of Baden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAH_title;Grant Bahia Independence;;;;;;;;;;;;x,,
gtfo_BAH_desc;We've had a good run, but it's time to end our rulership of Bahia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAL_title;Grant Bali Independence;;;;;;;;;;;;x,,
gtfo_BAL_desc;We've had a good run, but it's time to end our rulership of Bali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAN_title;Grant Banat Independence;;;;;;;;;;;;x,,
gtfo_BAN_desc;We've had a good run, but it's time to end our rulership of Banat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAR_title;Grant Barbados Independence;;;;;;;;;;;;x,,
gtfo_BAR_desc;We've had a good run, but it's time to end our rulership of Barbados: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAS_title;Grant Bastar Independence;;;;;;;;;;;;x,,
gtfo_BAS_desc;We've had a good run, but it's time to end our rulership of Bastar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAU_title;Grant Berau Independence;;;;;;;;;;;;x,,
gtfo_BAU_desc;We've had a good run, but it's time to end our rulership of Berau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;x,,
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BDK_title;Grant Badakhshan Independence;;;;;;;;;;;;x,,
gtfo_BDK_desc;We've had a good run, but it's time to end our rulership of Badakhshan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BDN_title;Grant Bahdinan Independence;;;;;;;;;;;;x,,
gtfo_BDN_desc;We've had a good run, but it's time to end our rulership of Bahdinan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEL_title;Grant Belgium Independence;;;;;;;;;;;;x,,
gtfo_BEL_desc;We've had a good run, but it's time to end our rulership of Belgium: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEN_title;Grant Benin Independence;;;;;;;;;;;;x,,
gtfo_BEN_desc;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BER_title;Grant Beroda Independence;;;;;;;;;;;;x,,
gtfo_BER_desc;We've had a good run, but it's time to end our rulership of Beroda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEY_title;Grant Berry Independence;;;;;;;;;;;;x,,
gtfo_BEY_desc;We've had a good run, but it's time to end our rulership of Berry: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHM_title;Grant Bahamas Independence;;;;;;;;;;;;x,,
gtfo_BHM_desc;We've had a good run, but it's time to end our rulership of Bahamas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHO_title;Grant Bhopal Independence;;;;;;;;;;;;x,,
gtfo_BHO_desc;We've had a good run, but it's time to end our rulership of Bhopal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHP_title;Grant Bahawalpur Independence;;;;;;;;;;;;x,,
gtfo_BHP_desc;We've had a good run, but it's time to end our rulership of Bahawalpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHR_title;Grant Bahrain Independence;;;;;;;;;;;;x,,
gtfo_BHR_desc;We've had a good run, but it's time to end our rulership of Bahrain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHT_title;Grant Bohtan Independence;;;;;;;;;;;;x,,
gtfo_BHT_desc;We've had a good run, but it's time to end our rulership of Bohtan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHU_title;Grant Bhutan Independence;;;;;;;;;;;;x,,
gtfo_BHU_desc;We've had a good run, but it's time to end our rulership of Bhutan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIA_title;Grant Biafra Independence;;;;;;;;;;;;x,,
gtfo_BIA_desc;We've had a good run, but it's time to end our rulership of Biafra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIH_title;Grant Bihar Independence;;;;;;;;;;;;x,,
gtfo_BIH_desc;We've had a good run, but it's time to end our rulership of Bihar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIJ_title;Grant Bijapur Independence;;;;;;;;;;;;x,,
gtfo_BIJ_desc;We've had a good run, but it's time to end our rulership of Bijapur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIK_title;Grant Bikaner Independence;;;;;;;;;;;;x,,
gtfo_BIK_desc;We've had a good run, but it's time to end our rulership of Bikaner: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BIM_title;Grant Bima Independence;;;;;;;;;;;;x,,
gtfo_BIM_desc;We've had a good run, but it's time to end our rulership of Bima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BKF_title;Grant Burkina Faso Independence;;;;;;;;;;;;x,,
gtfo_BKF_desc;We've had a good run, but it's time to end our rulership of Burkina Faso: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BKV_title;Grant Bukovina Independence;;;;;;;;;;;;x,,
gtfo_BKV_desc;We've had a good run, but it's time to end our rulership of Bukovina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLA_title;Grant Blackfoot Independence;;;;;;;;;;;;x,,
gtfo_BLA_desc;We've had a good run, but it's time to end our rulership of Blackfoot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLC_title;Grant Baluchistan Independence;;;;;;;;;;;;x,,
gtfo_BLC_desc;We've had a good run, but it's time to end our rulership of Baluchistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLM_title;Grant Blambangan Independence;;;;;;;;;;;;x,,
gtfo_BLM_desc;We've had a good run, but it's time to end our rulership of Blambangan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLZ_title;Grant Belize Independence;;;;;;;;;;;;x,,
gtfo_BLZ_desc;We've had a good run, but it's time to end our rulership of Belize: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BMK_title;Grant Bamako Independence;;;;;;;;;;;;x,,
gtfo_BMK_desc;We've had a good run, but it's time to end our rulership of Bamako: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BMN_title;Grant Deccan Independence;;;;;;;;;;;;x,,
gtfo_BMN_desc;We've had a good run, but it's time to end our rulership of Deccan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNB_title;Grant Baban Independence;;;;;;;;;;;;x,,
gtfo_BNB_desc;We've had a good run, but it's time to end our rulership of Baban: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNG_title;Grant Bengal Independence;;;;;;;;;;;;x,,
gtfo_BNG_desc;We've had a good run, but it's time to end our rulership of Bengal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNT_title;Grant Banten Independence;;;;;;;;;;;;x,,
gtfo_BNT_desc;We've had a good run, but it's time to end our rulership of Banten: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNY_title;Grant Bunyoro Independence;;;;;;;;;;;;x,,
gtfo_BNY_desc;We've had a good run, but it's time to end our rulership of Bunyoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOH_title;Grant Bohemia Independence;;;;;;;;;;;;x,,
gtfo_BOH_desc;We've had a good run, but it's time to end our rulership of Bohemia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOL_title;Grant Bolivia Independence;;;;;;;;;;;;x,,
gtfo_BOL_desc;We've had a good run, but it's time to end our rulership of Bolivia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOS_title;Grant Bosnia Independence;;;;;;;;;;;;x,,
gtfo_BOS_desc;We've had a good run, but it's time to end our rulership of Bosnia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOU_title;Grant Bourbonnais Independence;;;;;;;;;;;;x,,
gtfo_BOU_desc;We've had a good run, but it's time to end our rulership of Bourbonnais: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRA_title;Grant Brunswick Independence;;;;;;;;;;;;x,,
gtfo_BRA_desc;We've had a good run, but it's time to end our rulership of Brunswick: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRB_title;Grant Brabant Independence;;;;;;;;;;;;x,,
gtfo_BRB_desc;We've had a good run, but it's time to end our rulership of Brabant: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRD_title;Grant Burundi Independence;;;;;;;;;;;;x,,
gtfo_BRD_desc;We've had a good run, but it's time to end our rulership of Burundi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRE_title;Grant Bremen Independence;;;;;;;;;;;;x,,
gtfo_BRE_desc;We've had a good run, but it's time to end our rulership of Bremen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRG_title;Grant Burgundy Independence;;;;;;;;;;;;x,,
gtfo_BRG_desc;We've had a good run, but it's time to end our rulership of Burgundy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRN_title;Grant Brandenburg Independence;;;;;;;;;;;;x,,
gtfo_BRN_desc;We've had a good run, but it's time to end our rulership of Brandenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRR_title;Grant Berar Independence;;;;;;;;;;;;x,,
gtfo_BRR_desc;We've had a good run, but it's time to end our rulership of Berar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;x,,
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
