PROV261;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;Hlymrekr;x
PROV262;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;Veðrafjorðr;x
PROV263;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;Dyflin;x
PROV265;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;Veisafjorðr;x
PROV299;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;Pleimuiden;x
PROV300;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;Londen;x
PROV301;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;Kantelberg;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV349;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;x
PROV357;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;x
PROV364;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;x
PROV400;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;Duinkerke;x
PROV451;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;x
PROV552;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;Chósebuz;x
PROV558;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;Drježdzani;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV576;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;x
PROV577;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;Kleef;x
PROV632;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;Olomuniec;x
PROV636;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;x
PROV640;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;Pieciokoscioly;x
PROV642;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;Janok;x
PROV654;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;Kluz;x
PROV659;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;Braszów;x
PROV661;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;Bystrzyca;x
PROV664;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;x
PROV674;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;x
PROV683;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;Legnica;x
PROV684;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;Opole;x
PROV685;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;x
PROV687;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;Zhorjelc;x
PROV689;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;x
PROV690;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;x
PROV693;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;x
PROV695;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;Królewiec;x
PROV696;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;x
PROV697;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV702;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;x
PROV745;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;Liorna;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV768;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;x
PROV781;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;x
PROV807;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;x
PROV815;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;x
PROV847;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;x
PROV850;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;x
PROV851;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;x
PROV852;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;x
PROV853;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;x
PROV958;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;x
PROV962;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;x
PROV964;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;x
PROV967;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;x
PROV1036;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;Häštärxan;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
PROV1054;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;Ordzhonikidze;x
PROV2538;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;x
